player_id,name,team,statistic,value,year,league
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,213.0,2008,American
cabremi01,Miguel Cabrera,Detroit Tigers,Home Runs,37.0,2008,American
bradlmi01,Milton Bradley,Texas Rangers,On Base Percentage,0.436,2008,American
hamiljo03,Josh Hamilton,Texas Rangers,RBI,130.0,2008,American
pedrodu01,Dustin Pedroia,Boston Red Sox,Runs,118.0,2008,American
rodrial01,Alex Rodriguez,New York Yankees,Slugging Average,0.573,2008,American
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Stolen Bases,50.0,2008,American
hamiljo03,Josh Hamilton,Texas Rangers,Total Bases,331.0,2008,American
grandcu01,Curtis Granderson,Detroit Tigers,Triples,13.0,2008,American
dunnad01,Adam Dunn,Arizona Diamondbacks,Base on Balls,122.0,2008,National
jonesch06,Chipper Jones,Atlanta Braves,Batting Average,0.364,2008,National
berkmla01,Lance Berkman,Houston Astros,Doubles,46.0,2008,National
mclouna01,Nate Mc Louth,Pittsburgh Pirates,Doubles,46.0,2008,National
reyesjo01,Jose Reyes,New York Mets,Hits,204.0,2008,National
howarry01,Ryan Howard,Philadelphia Phillies,Home Runs,48.0,2008,National
jonesch06,Chipper Jones,Atlanta Braves,On Base Percentage,0.47,2008,National
howarry01,Ryan Howard,Philadelphia Phillies,RBI,146.0,2008,National
ramirha01,Hanley Ramirez,Florida Marlins,Runs,125.0,2008,National
pujolal01,Albert Pujols,St. Louis Cardinals,Slugging Average,0.653,2008,National
taverwi01,Willy Taveras,Colorado Rockies,Stolen Bases,68.0,2008,National
pujolal01,Albert Pujols,St. Louis Cardinals,Total Bases,342.0,2008,National
reyesjo01,Jose Reyes,New York Mets,Triples,19.0,2008,National
figgich01,Chone Figgins,Los Angeles Angels,Base on Balls,101.0,2009,American
mauerjo01,Joe Mauer,Minnesota Twins,Batting Average,0.365,2009,American
roberbr01,Brian Roberts,Baltimore Orioles,Doubles,56.0,2009,American
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,225.0,2009,American
penaca01,Carlos Pena,Tampa Bay Rays,Home Runs,39.0,2009,American
teixema01,Mark Teixeira,New York Yankees,Home Runs,39.0,2009,American
mauerjo01,Joe Mauer,Minnesota Twins,On Base Percentage,0.444,2009,American
teixema01,Mark Teixeira,New York Yankees,RBI,122.0,2009,American
pedrodu01,Dustin Pedroia,Boston Red Sox,Runs,115.0,2009,American
mauerjo01,Joe Mauer,Minnesota Twins,Slugging Average,0.587,2009,American
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Stolen Bases,70.0,2009,American
teixema01,Mark Teixeira,New York Yankees,Total Bases,344.0,2009,American
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Triples,10.0,2009,American
spande01,Denard Span,Minnesota Twins,Triples,10.0,2009,American
gonzaad01,Adrian Gonzalez,San Diego Padres,Base on Balls,119.0,2009,National
ramirha01,Hanley Ramirez,Florida Marlins,Batting Average,0.342,2009,National
tejadmi01,Miguel Tejada,Houston Astros,Doubles,46.0,2009,National
braunry01,Ryan Braun,Milwaukee Brewers,Hits,203.0,2009,National
pujolal01,Albert Pujols,St. Louis Cardinals,Home Runs,47.0,2009,National
pujolal01,Albert Pujols,St. Louis Cardinals,On Base Percentage,0.443,2009,National
fieldpr01,Prince Fielder,Milwaukee Brewers,RBI,141.0,2009,National
howarry01,Ryan Howard,Philadelphia Phillies,RBI,141.0,2009,National
pujolal01,Albert Pujols,St. Louis Cardinals,Runs,124.0,2009,National
pujolal01,Albert Pujols,St. Louis Cardinals,Slugging Average,0.658,2009,National
bournmi01,Michael Bourn,Houston Astros,Stolen Bases,61.0,2009,National
pujolal01,Albert Pujols,St. Louis Cardinals,Total Bases,374.0,2009,National
victosh01,Shane Victorino,Philadelphia Phillies,Triples,13.0,2009,National
bartoda02,Daric Barton,Oakland Athletics,Base on Balls,110.0,2010,American
hamiljo03,Josh Hamilton,Texas Rangers,Batting Average,0.359,2010,American
beltrad01,Adrian Beltre,Boston Red Sox,Doubles,49.0,2010,American
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,214.0,2010,American
bautijo02,Jose Bautista,Toronto Blue Jays,Home Runs,54.0,2010,American
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.42,2010,American
