player_id,name,team,statistic,value,year,league
ramirma02,Manny Ramirez,Boston,Slugging Average,.613,2004,American
crawfca02,Carl Crawford,Tampa Bay,Stolen Bases,59,2004,American
guerrvl01,Vladimir Guerrero,Anaheim,Total Bases,366,2004,American
crawfca02,Carl Crawford,Tampa Bay,Triples,19,2004,American
bondsba01,Barry Bonds,San Francisco,Base on Balls,232,2004,National
bondsba01,Barry Bonds,San Francisco,Batting Average,.362,2004,National
overbly01,Lyle Overbay,Milwaukee,Doubles,53,2004,National
pierrju01,Juan Pierre,Florida,Hits,221,2004,National
beltrad01,Adrian Beltre,Los Angeles,Home Runs,48,2004,National
bondsba01,Barry Bonds,San Francisco,On Base Percentage,.609,2004,National
castivi02,Vinny Castilla,Colorado,RBI,131,2004,National
pujolal01,Albert Pujols,St. Louis,Runs,133,2004,National
bondsba01,Barry Bonds,San Francisco,Slugging Average,.812,2004,National
podsesc01,Scott Podsednik,Milwaukee,Stolen Bases,70,2004,National
pujolal01,Albert Pujols,St. Louis,Total Bases,389,2004,National
pierrju01,Juan Pierre,Florida,Triples,12,2004,National
rolliji01,Jimmy Rollins,Philadelphia,Triples,12,2004,National
wilsoja02,Jack Wilson,Pittsburgh,Triples,12,2004,National
giambja01,Jason Giambi,New York,Base on Balls,108,2005,American
youngmi02,Michael Young,Texas,Batting Average,.331,2005,American
tejadmi01,Miguel Tejada,Baltimore,Doubles,50,2005,American
youngmi02,Michael Young,Texas,Hits,221,2005,American
rodrial01,Alex Rodriguez,New York,Home Runs,48,2005,American
giambja01,Jason Giambi,New York,On Base Percentage,.440,2005,American
ortizda01,David Ortiz,Boston,RBI,148,2005,American
rodrial01,Alex Rodriguez,New York,Runs,124,2005,American
rodrial01,Alex Rodriguez,New York,Slugging Average,.610,2005,American
figgich01,Chone Figgins,Los Angeles,Stolen Bases,62,2005,American
teixema01,Mark Teixeira,Texas,Total Bases,370,2005,American
crawfca02,Carl Crawford,Tampa Bay,Triples,15,2005,American
gilesbr02,Brian Giles,San Diego,Base on Balls,119,2005,National
leede02,Derrek Lee,Chicago,Batting Average,.335,2005,National
leede02,Derrek Lee,Chicago,Doubles,50,2005,National
leede02,Derrek Lee,Chicago,Hits,199,2005,National
jonesan01,Andruw Jones,Atlanta,Home Runs,51,2005,National
heltoto01,Todd Helton,Colorado,On Base Percentage,.445,2005,National
jonesan01,Andruw Jones,Atlanta,RBI,128,2005,National
pujolal01,Albert Pujols,St. Louis,Runs,129,2005,National
leede02,Derrek Lee,Chicago,Slugging Average,.662,2005,National
reyesjo01,Jose Reyes,New York,Stolen Bases,60,2005,National
leede02,Derrek Lee,Chicago,Total Bases,393,2005,National
reyesjo01,Jose Reyes,New York,Triples,17,2005,National
ortizda01,David Ortiz,Boston,Base on Balls,119,2006,American
mauerjo01,Joe Mauer,Minnesota,Batting Average,.347,2006,American
sizemgr01,Grady Sizemore,Cleveland,Doubles,53,2006,American
suzukic01,Ichiro Suzuki,Seattle,Hits,224,2006,American
ortizda01,David Ortiz,Boston,Home Runs,54,2006,American
ramirma02,Manny Ramirez,Boston,On Base Percentage,.439,2006,American
ortizda01,David Ortiz,Boston,RBI,137,2006,American
sizemgr01,Grady Sizemore,Cleveland,Runs,134,2006,American
hafnetr01,Travis Hafner,Cleveland,Slugging Average,.659,2006,American
crawfca02,Carl Crawford,Tampa Bay,Stolen Bases,58,2006,American
ortizda01,David Ortiz,Boston,Total Bases,355,2006,American
crawfca02,Carl Crawford,Tampa Bay,Triples,16,2006,American
bondsba01,Barry Bonds,San Francisco,Base on Balls,115,2006,National
sanchfr01,Freddy Sanchez,Pittsburgh,Batting Average,.344,2006,National
sanchfr01,Freddy Sanchez,Pittsburgh,Doubles,53,2006,National
pierrju01,Juan Pierre,Chicago,Hits,204,2006,National
howarry01,Ryan Howard,Philadelphia,Home Runs,58,2006,National
bondsba01,Barry Bonds *,San Francisco,On Base Percentage,.454,2006,National
howarry01,Ryan Howard,Philadelphia,RBI,149,2006,National
utleych01,Chase Utley,Philadelphia,Runs,131,2006,National
pujolal01,Albert Pujols,St. Louis,Slugging Average,.671,2006,National
reyesjo01,Jose Reyes,New York,Stolen Bases,64,2006,National
howarry01,Ryan Howard,Philadelphia,Total Bases,383,2006,National
reyesjo01,Jose Reyes,New York,Triples,17,2006,National
ortizda01,David Ortiz,Boston,Base on Balls,111,2007,American
ordonma01,Magglio Ordonez,Detroit,Batting Average,.363,2007,American
ordonma01,Magglio Ordonez,Detroit,Doubles,54,2007,American
suzukic01,Ichiro Suzuki,Seattle,Hits,238,2007,American
rodrial01,Alex Rodriguez,New York,Home Runs,54,2007,American
ortizda01,David Ortiz,Boston,On Base Percentage,.445,2007,American
rodrial01,Alex Rodriguez,New York,RBI,156,2007,American
rodrial01,Alex Rodriguez,New York,Runs,143,2007,American
rodrial01,Alex Rodriguez,New York,Slugging Average,.645,2007,American
crawfca02,Carl Crawford,Tampa Bay,Stolen Bases,50,2007,American
roberbr01,Brian Roberts,Baltimore,Stolen Bases,50,2007,American
rodrial01,Alex Rodriguez,New York,Total Bases,376,2007,American
grandcu01,Curtis Granderson,Detroit,Triples,23,2007,American
bondsba01,Barry Bonds,San Francisco,Base on Balls,132,2007,National
hollima01,Matt Holliday,Colorado,Batting Average,.340,2007,National
hollima01,Matt Holliday,Colorado,Doubles,50,2007,National
hollima01,Matt Holliday,Colorado,Hits,216,2007,National
fieldpr01,Prince Fielder,Milwaukee,Home Runs,50,2007,National
heltoto01,Todd Helton,Colorado,On Base Percentage,.434,2007,National
hollima01,Matt Holliday,Colorado,RBI,137,2007,National
rolliji01,Jimmy Rollins,Philadelphia,Runs,139,2007,National
fieldpr01,Prince Fielder,Milwaukee,Slugging Average,.618,2007,National
reyesjo01,Jose Reyes,New York,Stolen Bases,78,2007,National
hollima01,Matt Holliday,Colorado,Total Bases,386,2007,National
rolliji01,Jimmy Rollins,Philadelphia,Triples,20,2007,National
custja01,Jack Cust,Oakland,Base on Balls,111,2008,American
mauerjo01,Joe Mauer,Minnesota,Batting Average,.330,2008,American
pedrodu01,Dustin Pedroia,Boston,Doubles,54,2008,American
pedrodu01,Dustin Pedroia,Boston,Hits,213,2008,American
suzukic01,Ichiro Suzuki,Seattle,Hits,213,2008,American
cabremi01,Miguel Cabrera,Detroit,Home Runs,37,2008,American
bradlmi01,Milton Bradley,Texas,On Base Percentage,.436,2008,American
hamiljo03,Josh Hamilton,Texas,RBI,130,2008,American
pedrodu01,Dustin Pedroia,Boston,Runs,118,2008,American
rodrial01,Alex Rodriguez,New York,Slugging Average,.573,2008,American
ellsbja01,Jacoby Ellsbury,Boston,Stolen Bases,50,2008,American
hamiljo03,Josh Hamilton,Texas,Total Bases,331,2008,American
grandcu01,Curtis Granderson,Detroit,Triples,13,2008,American
dunnad01,Adam Dunn,Arizona,Base on Balls,122,2008,National
jonesch06,Chipper Jones,Atlanta,Batting Average,.364,2008,National
berkmla01,Lance Berkman,Houston,Doubles,46,2008,National
mclouna01,Nate McLouth,Pittsburgh,Doubles,46,2008,National
reyesjo01,Jose Reyes,New York,Hits,204,2008,National
howarry01,Ryan Howard,Philadelphia,Home Runs,48,2008,National
jonesch06,Chipper Jones,Atlanta,On Base Percentage,.470,2008,National
howarry01,Ryan Howard,Philadelphia,RBI,146,2008,National
ramirha01,Hanley Ramirez,Florida,Runs,125,2008,National
pujolal01,Albert Pujols,St. Louis,Slugging Average,.653,2008,National
taverwi01,Willy Taveras,Colorado,Stolen Bases,68,2008,National
pujolal01,Albert Pujols,St. Louis,Total Bases,342,2008,National
reyesjo01,Jose Reyes,New York,Triples,19,2008,National
figgich01,Chone Figgins,Los Angeles,Base on Balls,101,2009,American
mauerjo01,Joe Mauer,Minnesota,Batting Average,.365,2009,American
roberbr01,Brian Roberts,Baltimore,Doubles,56,2009,American
suzukic01,Ichiro Suzuki,Seattle,Hits,225,2009,American
penaca01,Carlos Pena,Tampa Bay,Home Runs,39,2009,American
teixema01,Mark Teixeira,New York,Home Runs,39,2009,American
mauerjo01,Joe Mauer,Minnesota,On Base Percentage,.444,2009,American
teixema01,Mark Teixeira,New York,RBI,122,2009,American
pedrodu01,DustinPedroia,Boston,Runs,115,2009,American
mauerjo01,Joe Mauer,Minnesota,Slugging Average,.587,2009,American
ellsbja01,Jacoby Ellsbury,Boston,Stolen Bases,70,2009,American
teixema01,Mark Teixeira,New York,Total Bases,344,2009,American
ellsbja01,Jacoby Ellsbury,Boston,Triples,10,2009,American
spande01,Denard Span,Minnesota,Triples,10,2009,American
gonzaad01,Adrian Gonzalez,San Diego,Base on Balls,119,2009,National
ramirha01,Hanley Ramirez,Florida,Batting Average,.342,2009,National
tejadmi01,Miguel Tejada,Houston,Doubles,46,2009,National
braunry01,Ryan Braun,Milwaukee,Hits,203,2009,National
pujolal01,Albert Pujols,St. Louis,Home Runs,47,2009,National
pujolal01,Albert Pujols,St. Louis,On Base Percentage,.443,2009,National
fieldpr01,Prince Fielder,Milwaukee,RBI,141,2009,National
howarry01,Ryan Howard,Philadelphia,RBI,141,2009,National
pujolal01,Albert Pujols,St. Louis,Runs,124,2009,National
pujolal01,Albert Pujols,St. Louis,Slugging Average,.658,2009,National
bournmi01,Michael Bourn,Houston,Stolen Bases,61,2009,National
pujolal01,Albert Pujols,St. Louis,Total Bases,374,2009,National
victosh01,Shane Victorino,Philadelphia,Triples,13,2009,National
bartoda02,Daric Barton,Oakland,Base on Balls,110,2010,American
hamiljo03,Josh Hamilton,Texas,Batting Average,.359,2010,American
beltrad01,Adrian Beltre,Boston,Doubles,49,2010,American
suzukic01,Ichiro Suzuki,Seattle,Hits,214,2010,American
bautijo02,Jose Bautista,Toronto,Home Runs,54,2010,American
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.420,2010,American
cabremi01,Miguel Cabrera,Detroit,RBI,126,2010,American
teixema01,Mark Teixeira,New York,Runs,113,2010,American
hamiljo03,Josh Hamilton,Texas,Slugging Average,.633,2010,American
pierrju01,Juan Pierre,Chicago,Stolen Bases,68,2010,American
bautijo02,Jose Bautista,Toronto,Total Bases,351,2010,American
crawfca02,Carl Crawford,Tampa Bay,Triples,13,2010,American
fieldpr01,Prince Fielder,Milwaukee,Base on Balls,114,2010,National
gonzaca01,Carlos Gonzalez,Colorado,Batting Average,.336,2010,National
werthja01,Jayson Werth,Philadelphia,Doubles,46,2010,National
gonzaca01,Carlos Gonzalez,Colorado,Hits,197,2010,National
pujolal01,Albert Pujols,St. Louis,Home Runs,42,2010,National
vottojo01,Joey Votto,Cincinnati,On Base Percentage,.424,2010,National
pujolal01,Albert Pujols,St. Louis,RBI,118,2010,National
pujolal01,Albert Pujols,St. Louis,Runs,115,2010,National
vottojo01,Joey Votto,Cincinnati,Slugging Average,.600,2010,National
bournmi01,Michael Bourn,Houston,Stolen Bases,52,2010,National
gonzaca01,Carlos Gonzalez,Colorado,Total Bases,351,2010,National
fowlede01,Dexter Fowler,Colorado,Triples,14,2010,National
bautijo02,Jose Bautista,Toronto,Base on Balls,132,2011,American
cabremi01,Miguel Cabrera,Detroit,Batting Average,.344,2011,American
cabremi01,Miguel Cabrera,Detroit,Doubles,48,2011,American
gonzaad01,Adrian Gonzalez,Boston,Hits,213,2011,American
youngmi02,Michael Young,Texas,Hits,213,2011,American
bautijo02,Jose Bautista,Toronto,Home Runs,43,2011,American
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.448,2011,American
grandcu01,Curtis Granderson,New York,RBI,119,2011,American
grandcu01,Curtis Granderson,New York,Runs,136,2011,American
bautijo02,Jose Bautista,Toronto,Slugging Average,.608,2011,American
crispco01,Coco Crisp,Oakland,Stolen Bases,49,2011,American
pierrju01,Brett Gardner,New York,Stolen Bases,49,2011,American
ellsbja01,Jacoby Ellsbury,Boston,Total Bases,364,2011,American
bourjpe01,Peter Bourjos,Los Angeles,Triples,11,2011,American
jacksau01,Austin Jackson,Detroit,Triples,11,2011,American
vottojo01,Joey Votto,Cincinnati,Base on Balls,110,2011,National
reyesjo01,Jose Reyes,New York,Batting Average,.337,2011,National
vottojo01,Joey Votto,Cincinnati,Doubles,40,2011,National
castrst01,Starlin Castro,Chicago,Hits,207,2011,National
kempma01,Matt Kemp,Los Angeles,Home Runs,39,2011,National
vottojo01,Joey Votto,Cincinnati,On Base Percentage,.416,2011,National
kempma01,Matt Kemp,Los Angeles,RBI,126,2011,National
kempma01,Matt Kemp,Los Angeles,Runs,115,2011,National
braunry02,Ryan Braun,Milwaukee,Slugging Average,.597,2011,National
bournmi01,Michael Bourn,Houston / Atlanta,Stolen Bases,61,2011,National
kempma01,Matt Kemp,Los Angeles,Total Bases,353,2011,National
reyesjo01,Jose Reyes,New York,Triples,16,2011,National
victosh01,Shane Victorino,Philadelphia,Triples,16,2011,National
dunnad01,Adam Dunn,Chicago,Base on Balls,105,2012,American
cabremi01,Miguel Cabrera,Detroit,Batting Average,.330,2012,American
gordoal01,Alex Gordon,Kansas City,Doubles,51,2012,American
jeterde01,Derek Jeter,New York,Hits,216,2012,American
cabremi01,Miguel Cabrera,Detroit,Home Runs,44,2012,American
mauerjo01,Joe Mauer,Minnesota,On Base Percentage,.416,2012,American
cabremi01,Miguel Cabrera,Detroit,RBI,139,2012,American
troutmi01,Mike Trout,Los Angeles,Runs,129,2012,American
cabremi01,Miguel Cabrera,Detroit,Slugging Average,.606,2012,American
troutmi01,Mike Trout,Los Angeles,Stolen Bases,49,2012,American
cabremi01,Miguel Cabrera,Detroit,Total Bases,377,2012,American
jacksau01,Austin Jackson,Detroit,Triples,10,2012,American
ugglada01,Dan Uggla,Atlanta,Base on Balls,94,2012,National
vottojo01,Joey Votto,Cincinnati,Base on Balls,94,2012,National
poseybu01,Buster Posey *,San Francisco,Batting Average,.336,2012,National
ramirar01,Aramis Ramirez,Milwaukee,Doubles,50,2012,National
mccutan01,Andrew McCutchen,Pittsburgh,Hits,194,2012,National
braunry02,Ryan Braun,Milwaukee,Home Runs,41,2012,National
vottojo01,Joey Votto,Cincinnati,On Base Percentage,.474,2012,National
headlch01,Chase Headley,San Diego,RBI,115,2012,National
braunry02,Ryan Braun,Milwaukee,Runs,108,2012,National
stantmi02,Mike Stanton,Miami,Slugging Average,.608,2012,National
cabreev01,Everth Cabrera,San Diego,Stolen Bases,44,2012,National
braunry02,Ryan Braun,Milwaukee,Total Bases,356,2012,National
paganan01,Angel Pagan,San Francisco,Triples,15,2012,National
troutmi01,Mike Trout,Los Angeles,Base on Balls,110,2013,American
cabremi01,Miguel Cabrera,Detroit,Batting Average,.348,2013,American
machama01,Manny Machado,Baltimore,Doubles,51,2013,American
beltrad01,Adrian Beltre,Texas,Hits,199,2013,American
davisch02,Chris Davis,Baltimore,Home Runs,53,2013,American
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.442,2013,American
davisch02,Chris Davis,Baltimore,RBI,138,2013,American
troutmi01,Mike Trout,Los Angeles,Runs,109,2013,American
cabremi01,Miguel Cabrera,Detroit,Slugging Average,.636,2013,American
ellsbja01,Jacoby Ellsbury,Boston,Stolen Bases,52,2013,American
davisch02,Chris Davis,Baltimore,Total Bases,370,2013,American
gardnbr01,Brett Gardner,New York,Triples,10,2013,American
vottojo01,Joey Votto,Cincinnati,Base on Balls,135,2013,National
cuddymi01,Michael Cuddyer,Colorado,Batting Average,.331,2013,National
carpema01,Matt Carpenter,St. Louis,Doubles,55,2013,National
carpema01,Matt Carpenter,St. Louis,Hits,199,2013,National
alvarpe01,Pedro Alvarez,Pittsburgh,Home Runs,36,2013,National
goldspa01,Paul Goldschmidt,Arizona,Home Runs,36,2013,National
vottojo01,Joey Votto,Cincinnati,On Base Percentage,.435,2013,National
goldspa01,Paul Goldschmidt,Arizona,RBI,125,2013,National
carpema01,Matt Carpenter,St. Louis,Runs,126,2013,National
goldspa01,Paul Goldschmidt,Arizona,Slugging Average,.552,2013,National
younger03,Eric Young,Colorado / New York,Stolen Bases,46,2013,National
goldspa01,Paul Goldschmidt,Arizona,Total Bases,332,2013,National
spande01,Denard Span,Washington,Triples,11,2013,National
santaca01,Carlos Santana,Cleveland,Base on Balls,113,2014,American
altuvjo01,Jose Altuve,Houston,Batting Average,.341,2014,American
cabremi01,Miguel Cabrera,Detroit,Doubles,52,2014,American
altuvjo01,Jose Altuve,Houston,Hits,225,2014,American
cruzne02,Nelson Cruz,Baltimore,Home Runs,40,2014,American
martivi01,Victor Martinez,Detroit,On Base Percentage,.409,2014,American
troutmi01,Mike Trout,Los Angeles,RBI,111,2014,American
troutmi01,Mike Trout,Los Angeles,Runs,115,2014,American
abreujo02,Jose Abreu,Chicago,Slugging Average,.581,2014,American
altuvjo01,Jose Altuve,Chicago,Stolen Bases,56,2014,American
troutmi01,Mike Trout,Los Angeles,Total Bases,338,2014,American
bournmi01,Michael Bourn,Cleveland,Triples,10,2014,American
eatonad01,Adam Eaton,Chicago,Triples,10,2014,American
carpema01,Matt Carpenter,St. Louis,Base on Balls,95,2014,National
morneju01,Justin Morneau,Colorado,Batting Average,.319,2014,National
lucrojo01,Jonathan Lucroy,Milwaukee,Doubles,53,2014,National
reverbe01,Ben Revere,Philadelphia,Hits,184,2014,National
spande01,Denard Span,Washington,Hits,184,2014,National
stantmi03,Giancarlo Stanton,Miami,Home Runs,37,2014,National
mccutan01,Andrew McCutchen,Pittsburgh,On Base Percentage,.410,2014,National
gonzaad01,Adrian Gonzalez,Los Angeles,RBI,116,2014,National
rendoan01,Anthony Rendon,Washington,Runs,111,2014,National
stantmi03,Giancarlo Stanton,Miami,Slugging Average,.555,2014,National
gordode01,Dee Strange-Gordon,Los Angeles,Stolen Bases,64,2014,National
stantmi03,Giancarlo Stanton,Miami,Total Bases,299,2014,National
gordode01,Dee Strange-Gordon,Los Angeles,Triples,12,2014,National
bautijo02,Jose Bautista,Toronto,Base on Balls,110,2015,American
cabremi01,Miguel Cabrera,Detroit,Batting Average,.338,2015,American
brantmi02,Michael Brantley,Cleveland,Doubles,45,2015,American
altuvjo01,Jose Altuve,Houston,Hits,200,2015,American
davisch02,Chris Davis,Baltimore,Home Runs,47,2015,American
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.440,2015,American
altuvjo01,Josh Donaldson,Toronto,RBI,123,2015,American
altuvjo01,Josh Donaldson,Toronto,Runs,122,2015,American
troutmi01,Mike Trout,Los Angeles,Slugging Average,.590,2015,American
altuvjo01,Jose Altuve,Houston,Stolen Bases,38,2015,American
altuvjo01,Josh Donaldson,Toronto,Total Bases,352,2015,American
rosared01,Eddie Rosario,Minnesota,Triples,15,2015,American
vottojo01,Joey Votto,Cincinnati,Base on Balls,143,2015,National
gordode01,Dee Gordon,Miami,Batting Average,.333,2015,National
carpema01,Matt Carpenter,St. Louis,Doubles,44,2015,National
gordode01,Dee Gordon,Miami,Hits,205,2015,National
arenano01,Nolan Arenado,Colorado,Home Runs,42,2015,National
harpebr03,Bryce Harper,Washington,Home Runs,42,2015,National
harpebr03,Bryce Harper,Washington,On Base Percentage,.460,2015,National
arenano01,Nolan Arenado,Colorado,RBI,130,2015,National
harpebr03,Bryce Harper,Washington,Runs,118,2015,National
harpebr03,Bryce Harper,Washington,Slugging Average,.649,2015,National
gordode01,Dee Gordon,Miami,Stolen Bases,58,2015,National
arenano01,Nolan Arenado,Colorado,Total Bases,354,2015,National
peralda01,David Peralta,Arizona,Triples,10,2015,National
troutmi01,Mike Trout,Los Angeles,Base on Balls,116,2016,American
altuvjo01,Jose Altuve,Houston,Batting Average,.338,2016,American
ortizda01,David Ortiz,Boston,Doubles,48,2016,American
altuvjo01,Jose Altuve,Houston,Hits,216,2016,American
trumbma01,Mark Trumbo,Baltimore,Home Runs,47,2016,American
troutmi01,Mike Trout,Los Angeles,On Base Percentage,.441,2016,American
encared01,Edwin Encarnacion,Toronto,RBI,127,2016,American
ortizda01,David Ortiz,Boston,RBI,127,2016,American
troutmi01,Mike Trout,Los Angeles,Runs,123,2016,American
ortizda01,David Ortiz,Boston,Slugging Average,.620,2016,American
davisra01,Rajai Davis,Cleveland,Stolen Bases,43,2016,American
bettsmo01,Mookie Betts,Boston,Total Bases,359,2016,American
eatonad02,Adam Eaton,Chicago,Triples,9,2016,American
goldspa01,Paul Goldschmidt,Arizona,Base on Balls,110,2016,National
lemahdj01,DJ LeMahieu,Colorado,Batting Average,.348,2016,National
murphda08,Daniel Murphy,Washington,Doubles,47,2016,National
segurja01,Jean Segura,Arizona,Hits,203,2016,National
arenano01,Nolan Arenado,Colorado,Home Runs,41,2016,National
cartech02,Chris Carter,Milwaukee,Home Runs,41,2016,National
vottojo01,Joey Votto,Cincinnati,On Base Percentage,.434,2016,National
arenano01,Nolan Arenado,Colorado,RBI,133,2016,National
bryankr01,Kris Bryant,Chicago,Runs,121,2016,National
murphda08,Daniel Murphy,Washington,Slugging Average,.595,2016,National
villajo01,Jonathan Villar,Milwaukee,Stolen Bases,62,2016,National
arenano01,Nolan Arenado,Colorado,Total Bases,352,2016,National
crawfbr01,Brandon Crawford,San Francisco,Triples,11,2016,National
hernace02,Cesar Hernandez,Philadelphia,Triples,11,2016,National
owingch01,Chris Owings,Arizona,Triples,11,2016,National
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,127,2017,American
altuvjo01,Jose Altuve,Houston Astros,Batting Average,.346,2017,American
ramirjo01,Jose Ramirez,Cleveland Indians,Doubles,56,2017,American
altuvjo01,Jose Altuve,Houston Astros,Hits,204,2017,American
judgeaa01,Aaron Judge,New York Yankees,Home Runs,52,2017,American
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,.442,2017,American
cruzne02,Nelson Cruz,Seattle Mariners,RBI,119,2017,American
judgeaa01,Aaron Judge,New York Yankees,Runs,128,2017,American
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,.629,2017,American
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,34,2017,American
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,343,2017,American
casteni01,Nick Castellanos,Detroit Tigers,Triples,10,2017,American
vottojo01,Joey Votto,Cincinnati Reds,Base on Balls,134,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Batting Average,.331,2017,National
arenano01,Nolan Arenado,Colorado Rockies,Doubles,43,2017,National
murphda08,Daniel Murphy,Washington Nationals,Doubles,43,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Hits,213,2017,National
stantmi03,Giancarlo Stanton,Miami Marlins,Home Runs,59,2017,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,.454,2017,National
stantmi03,Giancarlo Stanton,Miami Marlins,RBI,132,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Runs,137,2017,National
stantmi03,Giancarlo Stanton,Miami Marlins,Slugging Average,.631,2017,National
gordode01,Dee Gordon,Miami Marlins,Stolen Bases,60,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Total Bases,387,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Triples,14,2017,National
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,122,2018,American
bettsmo01,Mookie Betts,Boston Red Sox,Batting Average,.346,2018,American
bregmal01,Alex Bregman,Houston Astros,Doubles,50,2018,American
merriwh01,Whit Merrifield,Kansas City Royals,Hits,192,2018,American
daviskh01,Khris Davis,Oakland Athletics,Home Runs,48,2018,American
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,.460,2018,American
martijd02,J.D. Martinez,Boston Red Sox,RBI,130,2018,American
