player_id,name,team,statistic,value,year
perezsa02,Salvador Perez,Kansas City Royals,Home Runs,48,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,On Base Percentage,.401,2021
perezsa02,Salvador Perez,Kansas City Royals,RBI,121,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Runs,123,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Slugging Average,.601,2021
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,40,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Total Bases,363,2021
ohtansh01,Shohei Ohtani,Los Angeles Angels,Triples,8,2021
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,111,2022
arraelu01,Luis Arraez,Minnesota Twins,Batting Average,.316,2022
ramirjo01,José Ramírez,Cleveland Guardians,Doubles,44,2022
bichebo01,Bo Bichette,Toronto Blue Jays,Hits,189,2022
judgeaa01,Aaron Judge,New York Yankees,Home Runs,62,2022
judgeaa01,Aaron Judge,New York Yankees,On Base Percentage,.425,2022
judgeaa01,Aaron Judge,New York Yankees,RBI,131,2022
judgeaa01,Aaron Judge,New York Yankees,Runs,133,2022
judgeaa01,Aaron Judge,New York Yankees,Slugging Average,.686,2022
mateojo01,Jorge Mateo,Baltimore Orioles,Stolen Bases,35,2022
judgeaa01,Aaron Judge,New York Yankees,Total Bases,391,2022
rosarar01,Amed Rosario,Cleveland Guardians,Triples,9,2022
crawfjp01,J.P. Crawford,Seattle Mariners,Base on Balls,94,2023
diazya01,Yandy Díaz,Tampa Bay Rays,Batting Average,.330,2023
seageco01,Corey Seager,Texas Rangers,Doubles,42,2023
semiema01,Marcus Semien,Texas Rangers,Hits,185,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,Home Runs,44,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,On Base Percentage,.412,2023
tuckeky01,Kyle Tucker,Houston Astros,RBI,112,2023
semiema01,Marcus Semien,Texas Rangers,Runs,122,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,Slugging Average,.654,2023
ruizes01,Esteury Ruiz,Oakland Athletics,Stolen Bases,67,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,Total Bases,325,2023
wittbo02,Bobby Witt Jr.,Kansas City Royals,Triples,11,2023
judgeaa01,Aaron Judge,New York,Base on Balls,133,2024
wittbo02,Bobby Witt Jr.,Kansas City,Batting Average,.332,2024
duranja01,Jarren Duran,Boston,Doubles,48,2024
wittbo02,Bobby Witt Jr.,Kansas City,Hits,211,2024
judgeaa01,Aaron Judge,New York,Home Runs,58,2024
judgeaa01,Aaron Judge,New York,On Base Percentage,.458,2024
judgeaa01,Aaron Judge,New York,RBI,144,2024
sotoju01,Juan Soto,New York,Runs,128,2024
judgeaa01,Aaron Judge,New York,Slugging Average,.701,2024
cabaljo01,Jose Caballero,Tampa Bay,Stolen Bases,44,2024
judgeaa01,Aaron Judge,New York,Total Bases,392,2024
duranja01,Jarren Duran,Boston,Triples,14,2024
