Player_ID,Name,Team,Statistic,Value,Year
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.344,2011
cabremi01,Miguel Cabrera,Detroit Tigers,Doubles,48.0,2011
gonzaad01,Adrian Gonzalez,Boston Red Sox,Hits,213.0,2011
youngmi02,Michael Young,Texas Rangers,Hits,213.0,2011
bautijo02,Jose Bautista,Toronto Blue Jays,Home Runs,43.0,2011
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.448,2011
grandcu01,Curtis Granderson,New York Yankees,RBI,119.0,2011
grandcu01,Curtis Granderson,New York Yankees,Runs,136.0,2011
bautijo02,Jose Bautista,Toronto Blue Jays,Slugging Average,0.608,2011
crispco01,Coco Crisp,Oakland Athletics,Stolen Bases,49.0,2011
pierrju01,Brett Gardner,New York Yankees,Stolen Bases,49.0,2011
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Total Bases,364.0,2011
bourjpe01,Peter Bourjos,Los Angeles Angels,Triples,11.0,2011
jacksau01,Austin Jackson,Detroit Tigers,Triples,11.0,2011
dunnad01,Adam Dunn,Chicago White Sox,Base on Balls,105.0,2012
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.33,2012
gordoal01,Alex Gordon,Kansas City Royals,Doubles,51.0,2012
jeterde01,Derek Jeter,New York Yankees,Hits,216.0,2012
cabremi01,Miguel Cabrera,Detroit Tigers,Home Runs,44.0,2012
mauerjo01,Joe Mauer,Minnesota Twins,On Base Percentage,0.416,2012
cabremi01,Miguel Cabrera,Detroit Tigers,RBI,139.0,2012
troutmi01,Mike Trout,Los Angeles Angels,Runs,129.0,2012
cabremi01,Miguel Cabrera,Detroit Tigers,Slugging Average,0.606,2012
troutmi01,Mike Trout,Los Angeles Angels,Stolen Bases,49.0,2012
cabremi01,Miguel Cabrera,Detroit Tigers,Total Bases,377.0,2012
jacksau01,Austin Jackson,Detroit Tigers,Triples,10.0,2012
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,110.0,2013
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.348,2013
machama01,Manny Machado,Baltimore Orioles,Doubles,51.0,2013
beltrad01,Adrian Beltre,Texas Rangers,Hits,199.0,2013
davisch02,Chris Davis,Baltimore Orioles,Home Runs,53.0,2013
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.442,2013
davisch02,Chris Davis,Baltimore Orioles,RBI,138.0,2013
troutmi01,Mike Trout,Los Angeles Angels,Runs,109.0,2013
cabremi01,Miguel Cabrera,Detroit Tigers,Slugging Average,0.636,2013
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Stolen Bases,52.0,2013
davisch02,Chris Davis,Baltimore Orioles,Total Bases,370.0,2013
gardnbr01,Brett Gardner,New York Yankees,Triples,10.0,2013
santaca01,Carlos Santana,Cleveland Indians,Base on Balls,113.0,2014
altuvjo01,Jose Altuve,Houston Astros,Batting Average,0.341,2014
cabremi01,Miguel Cabrera,Detroit Tigers,Doubles,52.0,2014
altuvjo01,Jose Altuve,Houston Astros,Hits,225.0,2014
cruzne02,Nelson Cruz,Baltimore Orioles,Home Runs,40.0,2014
martivi01,Victor Martinez,Detroit Tigers,On Base Percentage,0.409,2014
troutmi01,Mike Trout,Los Angeles Angels,RBI,111.0,2014
troutmi01,Mike Trout,Los Angeles Angels,Runs,115.0,2014
abreujo02,Jose Abreu,Chicago White Sox,Slugging Average,0.581,2014
altuvjo01,Jose Altuve,Chicago White Sox,Stolen Bases,56.0,2014
troutmi01,Mike Trout,Los Angeles Angels,Total Bases,338.0,2014
bournmi01,Michael Bourn,Cleveland Indians,Triples,10.0,2014
eatonad01,Adam Eaton,Chicago White Sox,Triples,10.0,2014
bautijo02,Jose Bautista,Toronto Blue Jays,Base on Balls,110.0,2015
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.338,2015
brantmi02,Michael Brantley,Cleveland Indians,Doubles,45.0,2015
altuvjo01,Jose Altuve,Houston Astros,Hits,200.0,2015
davisch02,Chris Davis,Baltimore Orioles,Home Runs,47.0,2015
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.44,2015
altuvjo01,Josh Donaldson,Toronto Blue Jays,RBI,123.0,2015
altuvjo01,Josh Donaldson,Toronto Blue Jays,Runs,122.0,2015
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,0.59,2015
altuvjo01,Jose Altuve,Houston Astros,Stolen Bases,38.0,2015
altuvjo01,Josh Donaldson,Toronto Blue Jays,Total Bases,352.0,2015
rosared01,Eddie Rosario,Minnesota Twins,Triples,15.0,2015
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,116.0,2016
altuvjo01,Jose Altuve,Houston Astros,Batting Average,0.338,2016
ortizda01,David Ortiz,Boston Red Sox,Doubles,48.0,2016
altuvjo01,Jose Altuve,Houston Astros,Hits,216.0,2016
