Player_ID,Career_Length,G,AB,R,H,2B,3B,HR,GRSL,RBI,BB,IBB,SO,SH,SF,HBP,GIDP,AVG,OBP,SLG
doziehu01,7,594,2093,258,498,108,27,73,1,235,193,2,621,0,13,15,50,.238,.305,.420
mondera02,8,358,1273,180,311,54,20,38,0,157,60,0,412,21,7,5,19,.244,.280,.408
lemahdj01,15,1652,6076,891,1758,277,39,126,3,660,571,24,1028,37,47,31,188,.289,.351,.410
hernace02,10,1186,4278,590,1143,182,33,71,1,369,453,17,926,15,17,33,67,.267,.341,.375
voitlu01,7,508,1680,247,425,72,2,95,1,276,192,3,550,0,8,32,47,.253,.339,.468
tuckeky01,8,702,2501,414,686,148,20,138,5,460,323,30,453,0,22,11,46,.274,.357,.515
gallojo01,10,939,2869,463,557,107,10,208,1,453,497,20,1292,1,4,32,16,.194,.319,.456
gurriyu01,10,943,3434,441,956,226,8,98,5,471,227,8,437,0,46,32,102,.278,.325,.434
candeje01,10,880,3195,410,757,190,18,110,0,384,326,7,857,0,19,49,51,.237,.315,.411
bichebo01,7,678,2784,391,802,163,8,101,2,383,165,3,599,0,12,16,67,.288,.330,.461
guerrvl02,7,887,3400,516,975,189,6,168,5,537,389,35,593,0,18,34,111,.287,.364,.494
perezsa02,14,1618,6140,672,1632,302,11,279,6,950,255,39,1238,0,53,86,190,.266,.302,.455
ohtansh01,8,943,3392,630,956,178,41,248,3,606,473,76,996,0,20,23,43,.282,.372,.578
arraelu01,7,748,2873,401,915,153,17,31,1,272,209,18,199,7,20,19,59,.318,.366,.416
mateojo01,6,476,1285,181,285,70,12,30,0,121,73,0,366,12,9,11,22,.222,.268,.365
rosarar01,9,976,3618,464,989,165,46,66,1,381,165,6,745,5,18,24,91,.273,.308,.399
crawfjp01,9,839,3033,424,753,160,15,60,4,311,410,2,653,13,18,37,43,.248,.343,.370
diazya01,9,818,2971,421,850,168,6,85,1,380,371,11,507,0,19,25,82,.286,.368,.433
seageco01,11,1068,4108,658,1185,255,13,206,3,630,433,46,821,0,29,35,87,.288,.359,.507
semiema01,13,1571,6137,933,1558,312,35,245,7,767,609,8,1266,7,36,24,98,.254,.322,.436
ruizes01,3,178,539,60,131,27,3,7,0,57,25,1,126,6,3,18,8,.243,.297,.343
wittbo02,4,539,2141,339,614,126,31,90,4,322,150,18,419,1,26,21,28,.287,.336,.501
duranja01,5,423,1615,235,438,117,28,39,1,180,116,2,430,1,9,18,14,.271,.325,.451
sotoju01,8,1005,3529,706,997,193,15,214,1,628,826,72,747,2,24,17,97,.283,.419,.528
cabaljo01,3,300,828,114,188,44,3,15,1,91,75,1,253,4,8,27,6,.227,.309,.342
